,source,review,rating,review_title,thumbs_up,date,developerResponse,developerResponse_date,appVersion
129,Google Play,Totoo nga. Ang sabi ng mga barkada ko ang D malaro ang laro na to ang hirap gomawa ng account,1,,11,12/11/2021 8:49,,,2.5.0.5046
130,Google Play,This game very nice for beginners,5,,0,10/11/2021 14:01,,,
131,Google Play,Wow good game for me yehey,5,,0,31/10/2021 13:47,,,
132,Google Play,Okokooko hahahh,5,,0,23/10/2021 14:50,,,
133,Google Play,Sana gumana na,5,,0,15/10/2021 15:40,,,
134,Google Play,perfect,5,,0,15/10/2021 5:21,,,2.4.0.4727
135,Google Play,Ang ganda ng laro katulad pa din sa PC. Kaya league of legend talaga ako,5,,0,12/10/2021 8:46,,,
136,Google Play,Wow wow wow,5,,0,08/10/2021 9:37,,,2.4.0.4727
137,Google Play,Gusto ko lang mag try kung maganda ba talaga. Siya kaysa sa mobile legend,5,,0,08/10/2021 7:38,,,
138,Google Play,Yes buti nahanap kotong game na to napa ka ganda download nyu na wag na kayu mag dalawang isip pa,5,,22,30/09/2021 23:15,,,2.4.0.4727
139,Google Play,Best games ever in my life😍 And ml player is so toxic teamate this is i recommended games to best ever games in history graphics is so asome very nice pls support this games i recommended games ever and ever😍😊,5,,0,22/09/2021 16:47,,,
140,Google Play,Napaka pangit tas nahahang pa ang pangit ng laro nyu,1,,3,21/09/2021 10:38,Reach out to us with a ticket at https://support-legendsofruneterra.riotgames.com/ and we can figure out what happened!,22/09/2021 11:04,2.3.0.4342
141,Google Play,Maganda po sana siya ksu po ang tagal po ng update halos 3GB NA po ang na ubos sa data ku po,3,,1,20/09/2021 17:34,,,1.1.0.3585
142,Google Play,★★★★★,5,,0,13/09/2021 23:52,,,
143,Google Play,Gusto kung mag laro nito kaso naiinip ako mag download ang tagal kasi pero maganda sya nalaro kunato dati sa unakung cellphone si moonton takaw sa credits core hilig pa mag ban 3kill 5 DeaTh 6 assist ban kaagad umay,5,,0,08/09/2021 12:47,,,
144,Google Play,Ampangit ng laro puta!!!😠🖕😡,5,,0,30/08/2021 8:49,,,
145,Google Play,Oo,5,,0,27/08/2021 13:49,,,1.1.0.3585
146,Google Play,Give to me account plsss,5,,0,27/08/2021 11:14,,,1.1.0.3585
147,Google Play,Hic ugbigb,1,,0,24/08/2021 5:40,Reach out to us with a ticket at https://support-legendsofruneterra.riotgames.com/ and we can figure out what happened!,25/08/2021 6:05,
148,Google Play,I dont like it,1,,1,23/08/2021 12:30,Reach out to us with a ticket at https://support-legendsofruneterra.riotgames.com/ and we can figure out what happened!,24/08/2021 13:05,
149,Google Play,Ayos katulad sa Computer 😁,5,,0,16/08/2021 6:23,,,
150,Google Play,Tingin kayo s rating review sa 1star mga ml pliers dun nag labasan,5,,0,10/08/2021 16:11,,,
151,Google Play,Fix the damn error pls ... My account give it back thanks,2,,3,10/08/2021 7:06,"Hi dance this, Whoa, let's get that fixed! If you head over to https://support-wildrift.riotgames.com/ and submit a ticket, we'll do what we can to set things right.",10/08/2021 14:41,2.4.0.4727
152,Google Play,NC game,5,,0,31/07/2021 22:48,,,
153,Google Play,"Paki update,,,",5,,0,29/07/2021 12:59,,,1.1.0.3585
154,Google Play,"feom bets to this big update, smooth update and fast services :) *thumbs up for this",5,,0,28/07/2021 16:27,,,
155,Google Play,Idolooooo,5,,7,28/07/2021 11:56,,,2.4.0.4727
156,Google Play,"The game is good, but the playerbase is trash and hell. I do not recommend this game. It's more frustrating than enjoyable to play. To play this game is a risk. To be honest, I spent some in this game but it's not totally worth it if I'm playing against very incompetent and trash players. I hope there is a full refund function.",1,,14,28/07/2021 5:45,,,2.3.0.4342
157,Google Play,Tuydgkhwrbfuw Kailangan mo lang ng anong oras Durjfiwmgjtjf,5,,0,27/07/2021 15:26,,,1.1.0.3585
158,Google Play,Super super cool games😍 very very useful,5,,0,24/07/2021 12:41,,,
159,Google Play,Please add more events,5,,6,22/07/2021 11:59,,,2.3.0.4342
160,Google Play,nice game,5,,0,11/07/2021 5:31,,,
161,Google Play,Puta4ng ina ayaw mg install 100 na busitttt,1,,1,28/06/2021 2:07,,,
162,Google Play,Naks,1,,0,25/06/2021 4:56,,,
163,Google Play,Nice game kesa sa moonton omg,5,,1,24/06/2021 2:08,,,2.1.0.3849
164,Google Play,Nice game,5,,0,23/06/2021 7:08,,,
165,Google Play,Ang hirap laruin haha,4,,0,22/06/2021 7:13,,,
166,Google Play,Super nice game,5,,0,21/06/2021 8:28,,,
167,Google Play,Tang inang laro to na download ko na bigla nagloloko ung update amp bulok,1,,1,19/06/2021 2:40,,,
168,Google Play,Antagal naman mag download😑,5,,0,15/06/2021 13:14,,,
169,Google Play,Maganda,5,,0,14/06/2021 11:25,,,
170,Google Play,Buti pa to di ma lag kesa sa ml mukang mga tamod sobrang lag bubu pa ng kalaban at kampi nakakaumay na wala nabang lalakas diyan kingnangina niyo mga hayup bulbup pekepk puke,5,,0,13/06/2021 0:13,,,
171,Google Play,lague of legends is awesome,5,,0,07/06/2021 8:41,,,
172,Google Play,"I like this game end graphics is cool, not bad for me. 😊👍",5,,0,06/06/2021 9:20,,,
173,Google Play,Thanks riot for creating lol in moba because i havent enough time to play in pc thanks again riot,5,,0,03/06/2021 4:55,,,
174,Google Play,the app is so cool not log😘,5,,0,22/05/2021 7:22,,,2.1.0.3849
175,Google Play,Ok,5,,0,08/05/2021 13:10,,,
176,Google Play,"Sir, how to download the LOL Wildrift app on my Huawei MEDLX9 w/o Playstore.? Pls help me sir. Thanks",5,,0,08/05/2021 4:31,,,
177,Google Play,Kakaexcite mag laro,5,,0,06/05/2021 8:52,,,
178,Google Play,"the best game ever .. very strategic, and out of this world plays to outplay the opponents .. high quality graphics, easy to navigate and straight up FAIR AND SQUARE MATCH MAKING .. keep it up LONG LIVE WILD RIFT 😁👍 thanks RIOT for this wonderful game .. 5stars is not enough to rate this .. 😁👍",5,,0,01/05/2021 4:51,,,
179,Google Play,Stay At Home.,5,,2,30/04/2021 18:34,,,2.2.0.4027
180,Google Play,Try if working 😖,5,,0,26/04/2021 13:53,,,
181,Google Play,How to update WR in huawie device ?! No playstore..,4,,39,23/04/2021 12:22,,,2.2.0.4027
182,Google Play,Nice,5,,0,19/04/2021 18:30,,,2.1.0.3849
183,Google Play,"Nice game bobo kasi ni moonton lagi bobo kampi, HAHAHAHA atleast yung mga naglalaro sa game na to sila pa bumubuhay sakin❤️❤️❤️",5,,61,19/04/2021 12:39,"Hi there Rey Palima, That doesn't sound right… We suggest submitting a support ticket at https://support-wildrift.riotgames.com/ to get in touch with our Player Support Team. They'll make sure your problem is heard and do what they can to address it!",04/03/2021 5:58,2.2.0.4027
184,Google Play,Fair and smooth plays .. exciting map and skillss are hot,3,,0,17/04/2021 22:05,,,2.1.0.3849
185,Google Play,Maganda to laruin,5,,6,13/04/2021 1:13,,,2.2.0.4027
186,Google Play,You should fix your Server cause it always Unable to connect server even if i had a Good Quality of Network please Fix it,2,,21,10/04/2021 10:17,"Hi, carlos abot. Whoa, let's get that fixed! If you head over to https://support-wildrift.riotgames.com/ and submit a ticket, we'll do what we can to set things right.",10/04/2021 13:28,2.2.0.4027
187,Google Play,Hindi goma gana,1,,1,05/04/2021 6:36,,,
188,Google Play,1star never,1,,1,05/04/2021 1:59,"Hi Player, That sounds like something we might be able to help you with! Send us a ticket at https://support-wildrift.riotgames.com/ and we'll try to get you back on track.",05/04/2021 5:16,
189,Google Play,Ok lang naman siya guys balance Yong mga hero pero ang lag tapos ang tagal ko download resource,2,,2,31/03/2021 11:24,,,
190,Google Play,Pa add si Warwick pls,5,,1,30/03/2021 13:31,,,2.1.0.3849
191,Google Play,Yeah,5,,0,30/03/2021 9:54,,,2.1.0.3849
192,Google Play,Good games,5,,0,30/03/2021 8:34,,,
193,Google Play,Ok na,5,,9,29/03/2021 9:34,,,2.1.0.3849
194,Google Play,Good game,5,,0,27/03/2021 9:23,,,
195,Google Play,Good. Hope they releas Lissandra and Leblanc soon,5,,1,27/03/2021 8:27,,,2.1.0.3849
196,Google Play,Wildrift,5,,0,26/03/2021 18:14,,,
197,Google Play,Good work but when i log in to riot account it keeps back 👍 please fix that,4,,0,23/03/2021 23:41,,,
198,Google Play,Ang bagal na mag install ang bagal mag download ng resources ang hirap pa mag create account,1,,0,21/03/2021 7:46,"Hi Gian Carlo Nolasco, We're sorry to hear you're having trouble downloading League of Legends: Wild Rift. If you have a moment, submit a ticket at https://support-wildrift.riotgames.com/ and we'll try to figure out what's going on.",21/03/2021 12:31,
199,Google Play,Ml lang malakas,1,,1,17/03/2021 0:19,,,
200,Google Play,I always experience a log while the signal strength of our wifi but when I played mobile legends it didn't go away are monton's games better than yours,1,,1,16/03/2021 10:31,,,
201,Google Play,Gandapala jajajjajaj,5,,0,14/03/2021 15:17,,,
202,Google Play,Thanks moonton great game.,5,,0,13/03/2021 7:58,,,
203,Google Play,Ok nice download the app guys,5,,0,13/03/2021 5:54,,,
204,Google Play,Bay d ko po ma dowload,1,,1,12/03/2021 11:49,,,
205,Google Play,Pangit ang larong ito mobile legends nalang kayo maganda pa yun,1,,1,12/03/2021 7:25,,,
206,Google Play,It's nice I think I gonna play alyways hahahha (If I have free time) 🙂😁,5,,0,10/03/2021 0:11,,,
207,Google Play,Great game and graphics absulotely time killer,5,,8,02/03/2021 9:30,,,2.1.0.3849
